,ids,urls,titles,labels
0,uRu_JcarCDY,https://www.youtube.com/watch?v=uRu_JcarCDY,US Elections - How do they work?,1
1,2Q78XXkhx0o,https://www.youtube.com/watch?v=2Q78XXkhx0o,Joe Biden's first speech as US president-elect 🇺🇸 US Election 🔴 @BBC News live - BBC,2
2,bImK3gPEvc4,https://www.youtube.com/watch?v=bImK3gPEvc4,Joe Biden: 'I'm not here to declare we won' 🇺🇸 US Election @BBC News live - BBC,2
3,N1MmTEtwsl0,https://www.youtube.com/watch?v=N1MmTEtwsl0,Trump repeats voting fraud claims without evidence 🇺🇸 US Election @BBC News live - BBC,2
4,bK286Vj090o,https://www.youtube.com/watch?v=bK286Vj090o,US Presidential Election Results 2020 Live News | Donald Trump Vs Joe Biden | India Today Live TV,2
5,GWij2kKdktY,https://www.youtube.com/watch?v=GWij2kKdktY,US Presidential Election 2020| Donald Trump Claims Victory | Joe Biden | India Today,2
6,RRNJ9hl5w5c,https://www.youtube.com/watch?v=RRNJ9hl5w5c,"We're going to win, Biden says as lead widens 🇺🇸 US Election 🔴 @BBC News live - BBC",2
7,I8QtLm6GEd4,https://www.youtube.com/watch?v=I8QtLm6GEd4,The 2020 election race is still tight between Donald Trump and Joe Biden,2
8,moOxq_8l_34,https://www.youtube.com/watch?v=moOxq_8l_34,"How Donald Trump, White House reacted to Joe Biden's projected election victory",2
9,BInk1AoBHrY,https://www.youtube.com/watch?v=BInk1AoBHrY,"Joe Biden, Kamala Harris Address The Nation | NBC News",2
10,ncu_J4HGN9o,https://www.youtube.com/watch?v=ncu_J4HGN9o,How do the US elections work? | Start Here,1
11,-cO1ZjkHfAs,https://www.youtube.com/watch?v=-cO1ZjkHfAs,LIVE: U.S Election 2020 | Donald Trump vs Joe Biden Live | US Presidential Election Result LIVE,2
12,EhYDjXWRdyY,https://www.youtube.com/watch?v=EhYDjXWRdyY,Breaking 🔴 Biden wins 👉 BBC projects White House victory 🇺🇸 US Election @BBC News live - BBC,2
13,xtCYarXLskw,https://www.youtube.com/watch?v=xtCYarXLskw,LIVE: US Election 2020 Results | Donald Trump vs Joe Biden | US Presidential Election Results Live,2
14,pbigUSstyoI,https://www.youtube.com/watch?v=pbigUSstyoI,Pressure Grows On President Trump To Accept Election Results | TODAY,2
15,gJIYfD6CgCE,https://www.youtube.com/watch?v=gJIYfD6CgCE,US Presidential Election 2020: Polling Day special,1
16,fbe7PjnJfKY,https://www.youtube.com/watch?v=fbe7PjnJfKY,Trump speech: 'We're going to the Supreme Court' 🇺🇸 US Election @BBC News live - BBC,2
17,BoxCIoYRTRA,https://www.youtube.com/watch?v=BoxCIoYRTRA,US Election:  Joe Biden on brink of victory - BBC News,2
18,V1Tsn3D2i0w,https://www.youtube.com/watch?v=V1Tsn3D2i0w,How Safe Are U.S. Election Results?,2
19,VeZELFJMY_I,https://www.youtube.com/watch?v=VeZELFJMY_I,US Elections 2020: Biden gives statement - BBC News,2
20,ajavsMbCapY,https://www.youtube.com/watch?v=ajavsMbCapY,"The Electoral College, explained",1
21,pVZpC45C1UM,https://www.youtube.com/watch?v=pVZpC45C1UM,Biden supporters party as he leads in Pennsylvania 🇺🇸 US Election @BBC News live - BBC,2
22,oqaqmxZu3aQ,https://www.youtube.com/watch?v=oqaqmxZu3aQ,"US Election: Trump loses ground, blames ‘illegal votes’ | DW News",2
23,I3ViL1NMAMs,https://www.youtube.com/watch?v=I3ViL1NMAMs,US election results: Trump sues as path to victory over Biden narrows - BBC News,2
24,LY8L6C7tsx8,https://www.youtube.com/watch?v=LY8L6C7tsx8,How the US election works - BBC News,1
25,9ejnea_VKbg,https://www.youtube.com/watch?v=9ejnea_VKbg,Joe Biden beats Donald Trump to win US presidential election | US election 2020,2
26,GwnAzt_LvPo,https://www.youtube.com/watch?v=GwnAzt_LvPo,What Do U.S. Elections Look Like Abroad? | NYT Opinion,2
27,GI37qB-bxAg,https://www.youtube.com/watch?v=GI37qB-bxAg,US Election: Why are some states key to winning the presidency?,2
28,wCcyhn4RDVk,https://www.youtube.com/watch?v=wCcyhn4RDVk,Election 2020: What has President Trump done to America? | The Economist,2
29,8Lhj8W4ZQ2M,https://www.youtube.com/watch?v=8Lhj8W4ZQ2M,US election: US attorney general orders 'vote fraud' inquiries - BBC News,1
30,En-TCOJEBp4,https://www.youtube.com/watch?v=En-TCOJEBp4,Incumbent US President Donald Trump acknowledges rival Joe Biden's win | US Election 2020,2
31,qG3ta5dqwgs,https://www.youtube.com/watch?v=qG3ta5dqwgs,Joe Biden wins US election to become 46th President - BBC News,2
32,Iu7AbNaKFqc,https://www.youtube.com/watch?v=Iu7AbNaKFqc,Kamala Harris speech • What this moment means for women 🇺🇸 US Election 🔴 @BBC News live - BBC,1
